Code,Name,Status,Chris,Maggie,Allyson,Edward
MUS,Mauritius,Sovereign,Y,Y,,
ES-ML,Melilla,Non-sovereign,,,,
MEX,Mexico,Sovereign,Y,Y,Y,Y
MDA,Moldova,Sovereign,Y,Y,,
MCO,Monaco,Sovereign,Y,Y,,
MNG,Mongolia,Sovereign,Y,,,
MNE,Montenegro,Sovereign,Y,Y,,
MAR,Morocco,Sovereign,,,,
MOZ,Mozambique,Sovereign,Y,Y,Y,Y
MMR,Myanmar,Sovereign,Y,Y,Y,Y
NAM,Namibia,Sovereign,Y,Y,Y,Y
NRU,Nauru,Sovereign,,,,
NPL,Nepal,Sovereign,Y,,,
NLD,Netherlands,Sovereign,Y,Y,Y,
NCL,New Caledonia,Non-sovereign,,,,
NZL,New Zealand,Sovereign,,Y,,
NIC,Nicaragua,Sovereign,Y,,,
NER,Niger,Sovereign,,,,
NGA,Nigeria,Sovereign,Y,,,
PRK,North Korea,Sovereign,,,,
NOR,Norway,Sovereign,Y,Y,,
OMN,Oman,Sovereign,Y,Y,Y,Y
PAK,Pakistan,Sovereign,Y,,,
PLW,Palau,Sovereign,,,,
PAN,Panama,Sovereign,Y,Y,Y,Y
PNG,Papua New Guinea,Sovereign,,,,
PRY,Paraguay,Sovereign,,Y,,
PER,Peru,Sovereign,Y,Y,Y,Y
PHL,Philippines,Sovereign,Y,Y,,
POL,Poland,Sovereign,Y,Y,,
PRT,Portugal,Sovereign,Y,Y,Y,Y
PRI,Puerto Rico,Non-sovereign,Y,Y,Y,Y
QAT,Qatar,Sovereign,Y,Y,Y,Y
ROU,Romania,Sovereign,Y,Y,Y,Y
RUS,Russia,Sovereign,,,,
RWA,Rwanda,Sovereign,Y,Y,,
KNA,Saint Kitts and Nevis,Sovereign,,,,
LCA,Saint Lucia,Sovereign,Y,Y,Y,Y
VCT,Saint Vincent and the Grenadines,Sovereign,,,,
WSM,Samoa,Sovereign,Y,Y,,
SMR,San Marino,Sovereign,Y,Y,,
